gkz,bezirkname,alle Krebsarten:diff_rate,alle Krebsarten:rate,alle Krebsarten:rate_at,Bauchspeicheldrüsenkrebs:diff_rate,Bauchspeicheldrüsenkrebs:rate,Bauchspeicheldrüsenkrebs:rate_at,Brustkrebs:diff_rate,Brustkrebs:rate,Brustkrebs:rate_at,Darmkrebs:diff_rate,Darmkrebs:rate,Darmkrebs:rate_at,Eierstockkrebs:diff_rate,Eierstockkrebs:rate,Eierstockkrebs:rate_at,Leukämie:diff_rate,Leukämie:rate,Leukämie:rate_at,Lungenkrebs:diff_rate,Lungenkrebs:rate,Lungenkrebs:rate_at,Magenkrebs:diff_rate,Magenkrebs:rate,Magenkrebs:rate_at,Prostatakrebs:diff_rate,Prostatakrebs:rate,Prostatakrebs:rate_at
418,Wels-Land,-21.829999999999984,178.62,200.45,-1.3300000000000018,15.43,16.76,-3.320000000000004,29.74,33.06,1.240000000000002,21.92,20.68,0.1999999999999993,10.79,10.59,0.45999999999999996,7.69,7.23,-9.620000000000001,19.56,29.18,1.42,9.64,8.22,0,0,0
501,Salzburg(Stadt),-1.7199999999999989,198.73,200.45,1.5699999999999967,18.33,16.76,-0.060000000000002274,33,33.06,-0.6799999999999997,20,20.68,0.3200000000000003,10.91,10.59,-0.03000000000000025,7.2,7.23,1.1000000000000014,30.28,29.18,-0.28000000000000025,7.94,8.22,0,0,0
502,Hallein,-14.679999999999978,185.77,200.45,-2.960000000000001,13.8,16.76,-0.03999999999999915,33.02,33.06,-0.23000000000000043,20.45,20.68,-0.129999999999999,10.46,10.59,0.8599999999999994,8.09,7.23,-8.39,20.79,29.18,5.08,13.3,8.22,0,0,0
503,Salzburg-Umgebung,-18.639999999999986,181.81,200.45,1.2199999999999989,17.98,16.76,-1.4100000000000037,31.65,33.06,0.6900000000000013,21.37,20.68,1.0600000000000005,11.65,10.59,-2.3000000000000007,4.93,7.23,-8.329999999999998,20.85,29.18,-2.870000000000001,5.35,8.22,0,0,0
504,Sankt Johann im Pongau,-29.149999999999977,171.3,200.45,-2.280000000000001,14.48,16.76,-5.360000000000003,27.7,33.06,-5.92,14.76,20.68,1.1999999999999993,11.79,10.59,1.5700000000000003,8.8,7.23,-9.469999999999999,19.71,29.18,1.1899999999999995,9.41,8.22,0,0,0
505,Tamsweg,-50.78,149.67,200.45,-3.130000000000001,13.63,16.76,-13.120000000000001,19.94,33.06,-10.78,9.9,20.68,0.5500000000000007,11.14,10.59,-0.33000000000000007,6.9,7.23,-11.530000000000001,17.65,29.18,4.729999999999999,12.95,8.22,0,0,0
506,Zell am See,-26.579999999999984,173.87,200.45,0.6699999999999982,17.43,16.76,-7.230000000000004,25.83,33.06,-3.8999999999999986,16.78,20.68,-4.09,6.5,10.59,0.5999999999999996,7.83,7.23,-11.059999999999999,18.12,29.18,1.049999999999999,9.27,8.22,0,0,0
601,Graz(Stadt),7.910000000000025,208.36,200.45,-2.290000000000001,14.47,16.76,4.530000000000001,37.59,33.06,-1.6099999999999994,19.07,20.68,-0.7099999999999991,9.88,10.59,0.5299999999999994,7.76,7.23,4.090000000000003,33.27,29.18,-1.200000000000001,7.02,8.22,0,0,0
603,Deutschlandsberg,0.5400000000000205,200.99,200.45,-3.5200000000000014,13.24,16.76,-7.400000000000002,25.66,33.06,3.4400000000000013,24.12,20.68,-3.54,7.05,10.59,2.3599999999999994,9.59,7.23,-6.719999999999999,22.46,29.18,-1.2300000000000004,6.99,8.22,0,0,0
606,Graz-Umgebung,-4.1699999999999875,196.28,200.45,-0.6000000000000014,16.16,16.76,-1.9400000000000013,31.12,33.06,-3.2399999999999984,17.44,20.68,-0.3200000000000003,10.27,10.59,-0.8400000000000007,6.39,7.23,-0.8999999999999986,28.28,29.18,-0.6900000000000004,7.53,8.22,0,0,0
610,Leibnitz,-9.049999999999983,191.4,200.45,0.029999999999997584,16.79,16.76,-6.160000000000004,26.9,33.06,-0.14999999999999858,20.53,20.68,1.7100000000000009,12.3,10.59,-3.1900000000000004,4.04,7.23,-6.02,23.16,29.18,2.49,10.71,8.22,0,0,0
611,Leoben,-6.099999999999994,194.35,200.45,-1.3600000000000012,15.4,16.76,-2.320000000000004,30.74,33.06,-1.0199999999999996,19.66,20.68,0.09999999999999964,10.69,10.59,0.5,7.73,7.23,-2.7699999999999996,26.41,29.18,1.3699999999999992,9.59,8.22,0,0,0
612,Liezen,-15.649999999999977,184.8,200.45,-2.980000000000002,13.78,16.76,-4.490000000000002,28.57,33.06,1.6499999999999986,22.33,20.68,-0.16999999999999993,10.42,10.59,2.4000000000000004,9.63,7.23,-5.93,23.25,29.18,0.6899999999999995,8.91,8.22,0,0,0
614,Murau,-38,162.45,200.45,-3.870000000000001,12.89,16.76,-10.970000000000002,22.09,33.06,-7.48,13.2,20.68,5.24,15.83,10.59,-2.6500000000000004,4.58,7.23,-7.809999999999999,21.37,29.18,-0.3000000000000007,7.92,8.22,0,0,0
616,Voitsberg,9.29000000000002,209.74,200.45,-1.5600000000000023,15.2,16.76,4.93,37.99,33.06,-4.050000000000001,16.63,20.68,3.0299999999999994,13.62,10.59,-1.9100000000000001,5.32,7.23,-3.469999999999999,25.71,29.18,3.7699999999999996,11.99,8.22,0,0,0
617,Weiz,-17.560000000000002,182.89,200.45,-3.3100000000000023,13.45,16.76,-5.310000000000002,27.75,33.06,-3.039999999999999,17.64,20.68,1.2799999999999994,11.87,10.59,-1.3800000000000008,5.85,7.23,-11.989999999999998,17.19,29.18,0.8599999999999994,9.08,8.22,0,0,0
620,Murtal,4.710000000000008,205.16,200.45,2.4899999999999984,19.25,16.76,1.2299999999999969,34.29,33.06,-1.4499999999999993,19.23,20.68,0.7900000000000009,11.38,10.59,-0.15000000000000036,7.08,7.23,-0.6000000000000014,28.58,29.18,2.209999999999999,10.43,8.22,0,0,0
621,Bruck-Mürzzuschlag,-2.519999999999982,197.93,200.45,-1.240000000000002,15.52,16.76,-5.0000000000000036,28.06,33.06,-2.129999999999999,18.55,20.68,1.0199999999999996,11.61,10.59,1.459999999999999,8.69,7.23,-2.25,26.93,29.18,1.0899999999999999,9.31,8.22,0,0,0
622,Hartberg-Fürstenfeld,-12.689999999999998,187.76,200.45,-0.08000000000000185,16.68,16.76,-2.370000000000001,30.69,33.06,-2.419999999999998,18.26,20.68,1.370000000000001,11.96,10.59,-0.75,6.48,7.23,-11.579999999999998,17.6,29.18,3.119999999999999,11.34,8.22,0,0,0
623,Südoststeiermark,-1.3699999999999761,199.08,200.45,-3.7200000000000024,13.04,16.76,1.4199999999999946,34.48,33.06,3.66,24.34,20.68,-2.4299999999999997,8.16,10.59,2.219999999999999,9.45,7.23,-9.93,19.25,29.18,0.6399999999999988,8.86,8.22,0,0,0
701,Innsbruck-Stadt,8.820000000000022,209.27,200.45,-1.3800000000000008,15.38,16.76,-3.870000000000001,29.19,33.06,-1.7899999999999991,18.89,20.68,1.6300000000000008,12.22,10.59,0.13999999999999968,7.37,7.23,12.07,41.25,29.18,-2.0300000000000002,6.19,8.22,0,0,0
702,Imst,-3.839999999999975,196.61,200.45,4.899999999999999,21.66,16.76,-5.810000000000002,27.25,33.06,-5.640000000000001,15.04,20.68,-0.2599999999999998,10.33,10.59,2.539999999999999,9.77,7.23,6.109999999999999,35.29,29.18,4.799999999999999,13.02,8.22,0,0,0
703,Innsbruck-Land,-6.429999999999978,194.02,200.45,1.3999999999999986,18.16,16.76,0.8999999999999986,33.96,33.06,-2.719999999999999,17.96,20.68,-1.9100000000000001,8.68,10.59,-1.6500000000000004,5.58,7.23,-1.2100000000000009,27.97,29.18,2.879999999999999,11.1,8.22,0,0,0
